char_name
Aragorn II Elessar
Arwen
Frodo Baggins
Beregond (Captain)
Bergil
Bilbo Baggins
Fredegar Bolger
Tom Bombadil
Boromir
Merry
Barliman Butterbur
Celeborn
Denethor II
Elladan and Elrohir
Elrond
Éomer
Éowyn
Faramir
Galadriel
Sam
Gamling
Gandalf
Ghân-buri-Ghân
Gimli
Glorfindel
Goldberry
Gollum
Gorbag
Grimbold
Gwaihir
Imrahil
Gildor Inglorion
Legolas
Lugdush
Mauhúr
Saruman
Shagrat
Shelob
Théoden
Adelard Took
Everard Took
Pippin
Treebeard
Witch-king of Angmar
Witch-king's fellbeast
Gríma Wormtongue
